project,filename,sample_number,concentration_mg_L,integration_time_ms,excitation_nm,target_pigment,area_per_ms,band_1_energy,band_1_energy_per_ms,band_2_energy,band_2_energy_per_ms,band_3_energy,band_3_energy_per_ms,band_4_energy,band_4_energy_per_ms,band_ratio_2_1,band_ratio_3_1,band_ratio_4_1,centroid,elapsed_minutes,kurtosis,max_intensity,max_per_ms,mean_intensity,peak_1_fwhm,peak_1_intensity,peak_1_intensity_per_ms,peak_1_pos,peak_2_fwhm,peak_2_intensity,peak_2_intensity_per_ms,peak_2_pos,peak_3_fwhm,peak_3_intensity,peak_3_intensity_per_ms,peak_3_pos,peak_4_fwhm,peak_4_intensity,peak_4_intensity_per_ms,peak_4_pos,peak_5_fwhm,peak_5_intensity,peak_5_intensity_per_ms,peak_5_pos,peak_count,peak_ratio_1_2,skewness,snr,std_intensity,total_area
blue-211,rec_20260211_143914.npz,1,10.485,1000,450,chl_a,34125.66964312363,5181271.745998457,5181.271745998457,5316528.9726495845,5316.528972649585,16884748.0595183,16884.7480595183,6743120.86495728,6743.120864957281,1.0261050246506733,3.258803800931411,1.3014412668405306,2039.6211893556822,0.0,-0.12207138697564623,24283.74483294489,24.28374483294489,9354.624353926432,946.0,23719.666355866415,23.719666355866416,2481,938.0,24283.74483294489,24.28374483294489,2540,939.0,24200.46433566439,24.20046433566439,2598,939.0,24195.79207459213,24.19579207459213,2648,970.0,23217.4200466201,23.2174200466201,2702,5,1.0034412768335923,1.1615792183600613,11.572861868993598,6638.400492614236,34125669.64312363
blue-211,rec_20260211_144106.npz,2,9.83,1000,450,chl_a,17620.5110096737,2627157.3064491125,2627.1573064491126,2459063.4610722666,2459.0634610722664,9465444.076068398,9465.444076068397,3068846.166083923,3068.846166083923,0.9360168327323943,3.6029224640765687,1.168124252990317,2044.684854672456,1.8666666666666667,0.31092559107105044,14627.392229992263,14.627392229992264,4830.1839390552905,872.0,13189.925796425827,13.189925796425827,2409,824.0,14111.688111888143,14.111688111888142,2480,814.0,14561.30248640252,14.56130248640252,2549,808.0,14627.392229992263,14.627392229992264,2646,870.0,13231.177389277418,13.231177389277418,2696,5,1.0045387247226998,1.3047610472309121,10.408628408064017,3962.930135970284,17620511.0096737
blue-211,rec_20260211_144356.npz,3,9.252,1000,450,chl_a,26715.050056177217,4396144.421966932,4396.144421966932,4574335.957509168,4574.335957509168,12428209.035808664,12428.209035808664,5316360.6408924535,5316.360640892453,1.0405335945406702,2.8270702331130444,1.2093234731614655,2002.2972382221162,4.7,0.01347196219482294,18706.090132090176,18.706090132090175,7323.204511013491,975.0,17818.45834165838,17.81845834165838,2481,936.0,18706.090132090176,18.706090132090175,2534,968.0,18128.72147852152,18.12872147852152,2590,970.0,18074.35429015433,18.07435429015433,2647,1005.0,17286.42692862697,17.28642692862697,2716,5,1.0318482830823295,1.155864579649413,11.144315735096134,4662.072603020305,26715050.056177218
blue-211,rec_20260211_144602.npz,4,8.738,1000,450,chl_a,16631.310875407966,2188459.550738156,2188.459550738156,2531449.214685321,2531.449214685321,9201210.072804995,9201.210072804995,2710192.0371794933,2710.192037179493,1.15672652657961,4.204423184198893,1.2384017041874773,2051.0759885775124,6.8,0.11051307111099762,13264.579875679907,13.264579875679907,4559.021621548236,906.0,12619.516705516733,12.619516705516734,2300,867.0,13264.579875679907,13.264579875679907,2384,868.0,13258.595104895136,13.258595104895136,2437,892.0,12973.15944055947,12.973159440559469,2499,937.0,11607.566278166305,11.607566278166304,2586,5,1.0004513880043415,1.2410603068482848,14.2295475077885,3672.960970253565,16631310.875407964
blue-211,rec_20260211_144748.npz,5,8.278,1000,450,chl_a,18244.096828904472,2434917.3781857085,2434.9173781857085,2395789.8623543177,2395.789862354318,9755123.941453014,9755.123941453014,3658265.64691143,3658.2656469114304,0.9839306597497179,4.006347003331051,1.5024188006072123,2106.5251798334584,8.566666666666666,0.369665593960383,15740.307187257225,15.740307187257226,5001.123034239165,814.0,14892.253379953414,14.892253379953415,2480,801.0,15418.338189588225,15.418338189588225,2535,799.0,15551.572999223034,15.551572999223033,2611,787.0,15740.307187257225,15.740307187257226,2664,819.0,14597.809013209046,14.597809013209046,2716,5,1.0121360191694835,1.3435000986320467,14.410162537270102,4313.626579033433,18244096.828904472
blue-211,rec_20260211_145009.npz,6,7.864,1000,450,chl_a,16984.913665967404,2148999.8358974406,2148.9998358974403,2408652.380730386,2408.652380730386,9536564.022688445,9536.564022688444,2890697.426651133,2890.6974266511334,1.1208248323222938,4.437675547195142,1.345136178404571,2079.6830277118875,10.916666666666666,0.13764099982653555,14139.452525252556,14.139452525252556,4655.952211065626,910.0,12656.30940170943,12.65630940170943,2285,872.0,13566.835742035775,13.566835742035774,2349,843.0,14010.892463092496,14.010892463092496,2415,840.0,14139.452525252556,14.139452525252556,2468,871.0,13594.01895881899,13.594018958818989,2531,5,1.0091757225671893,1.2637157850368463,14.833865800697286,3951.007591879956,16984913.665967405
blue-211,rec_20260211_145411.npz,7,7.471,1000,450,chl_a,17729.493750233145,2173630.4441530737,2173.6304441530738,2368060.7060606116,2368.0607060606117,10255271.523504298,10255.271523504298,2932531.076515158,2932.531076515158,1.0894495485332123,4.718038225444587,1.3491396775397024,2090.3362463700187,14.95,0.12081044600434465,15143.740986791021,15.143740986791022,4860.05859381391,854.0,14376.93818958822,14.37693818958822,2314,824.0,15143.740986791021,15.143740986791022,2383,830.0,14954.32070707074,14.954320707070739,2443,844.0,14551.893084693118,14.551893084693118,2501,872.0,13975.897668997703,13.975897668997703,2564,5,1.0126665920459175,1.2742069712916329,15.405695323717694,4332.862246811077,17729493.750233144
blue-211,rec_20260211_145614.npz,8,7.097,1000,450,chl_a,12645.201347086275,1726110.7337218374,1726.1107337218375,1965846.8545454592,1965.846854545459,6819546.356954172,6819.546356954173,2133697.4018648067,2133.6974018648066,1.1388880308430174,3.950816262088746,1.236130081448559,2040.855665059492,17.0,-0.21640066885278708,9308.25376845379,9.30825376845379,3466.3380885653164,984.0,8863.372027972047,8.863372027972048,2255,964.0,9196.130536130557,9.196130536130557,2323,937.0,9308.25376845379,9.30825376845379,2387,961.0,9243.115928515948,9.243115928515948,2443,971.0,9030.262626262647,9.030262626262648,2517,5,1.0070471733170503,1.1331054418751536,12.268692113473438,2646.1149637873036,12645201.347086275
blue-211,rec_20260211_145813.npz,9,6.742,1000,450,chl_a,15154.319424009358,2197070.8390831435,2197.0708390831437,2306006.923076928,2306.006923076928,7915376.922455341,7915.376922455341,2735864.7393939453,2735.8647393939455,1.049582417669903,3.6026953622298747,1.2452328303331563,2041.9799650560612,18.983333333333334,0.009709435443254755,11404.729137529164,11.404729137529165,4154.144578949934,903.0,11054.434809634837,11.054434809634836,2371,894.0,11302.10598290601,11.30210598290601,2435,890.0,11404.729137529164,11.404729137529165,2487,892.0,11336.03636363639,11.33603636363639,2544,917.0,10956.074902874927,10.956074902874928,2608,5,1.0060596818578604,1.2121649110473103,11.891635644457788,3163.359496549706,15154319.424009359
blue-211,rec_20260211_150021.npz,10,6.405,1000,450,chl_a,14064.43258187649,1955983.982935125,1955.983982935125,2032647.0757575803,2032.6470757575803,7472851.948562566,7472.851948562567,2602949.5746212183,2602.9495746212183,1.0391941311847634,3.820507741248933,1.3307622134590615,2066.947791870591,21.116666666666667,0.1185550505115236,11040.743181818209,11.04074318181821,3855.3817384529852,853.0,10511.932711732738,10.511932711732738,2351,850.0,10672.617074592099,10.672617074592099,2415,841.0,10959.254759129784,10.959254759129784,2479,838.0,11040.743181818209,11.04074318181821,2547,849.0,10699.414588189611,10.699414588189612,2608,5,1.0074355806557502,1.2649311024245866,12.575190724313815,3104.631381784524,14064432.58187649
