kernels,filters,lr,epochs,batch_size,dropout_conv,dropout_fc,r2_a,r2_b,rmse_a,rmse_b,mae_a,mae_b,total_rmse
"(51, 25, 11)","(16, 32, 64)",0.003,80,16,0.1,0.2,0.9895,0.9794,0.248,0.142,0.196,0.117,0.3897
"(31, 15, 7)","(16, 32, 64)",0.003,120,16,0.1,0.2,0.9889,0.9810,0.255,0.136,0.197,0.109,0.3907
"(31, 15, 7)","(16, 32, 64)",0.003,120,32,0.1,0.2,0.9884,0.9822,0.261,0.132,0.201,0.105,0.3923
"(31, 15, 7)","(16, 32, 64)",0.003,80,16,0.1,0.2,0.9868,0.9863,0.278,0.116,0.214,0.092,0.3926
"(41, 21, 11)","(32, 64, 128)",0.001,120,16,0.1,0.2,0.9874,0.9827,0.271,0.130,0.209,0.103,0.4007
"(31, 15, 7)","(16, 32, 64)",0.001,120,16,0.1,0.2,0.9842,0.9788,0.303,0.144,0.237,0.115,0.4470
"(41, 21, 11)","(16, 32, 64)",0.003,120,32,0.1,0.2,0.9867,0.9799,0.278,0.140,0.218,0.113,0.4180
"(51, 25, 11)","(16, 32, 64)",0.003,120,32,0.1,0.2,0.9864,0.9797,0.282,0.141,0.222,0.114,0.4220
"(21, 11, 5)","(16, 32, 64)",0.003,120,32,0.2,0.2,0.9860,0.9805,0.286,0.138,0.224,0.110,0.4240
"(21, 11, 5)","(32, 64, 128)",0.001,120,16,0.2,0.2,0.9860,0.9837,0.286,0.126,0.224,0.100,0.4110
