n_components,scale,r2_a,r2_b,rmse_a,rmse_b,mae_a,mae_b,total_rmse
15,False,0.9955,0.9937,0.162,0.078,0.092,0.046,0.2400
15,True,0.9955,0.9937,0.162,0.078,0.092,0.046,0.2400
14,False,0.9955,0.9937,0.163,0.078,0.092,0.046,0.2410
14,True,0.9955,0.9937,0.163,0.078,0.092,0.046,0.2410
13,False,0.9954,0.9937,0.164,0.078,0.093,0.046,0.2420
13,True,0.9954,0.9937,0.164,0.078,0.093,0.046,0.2420
12,False,0.9953,0.9937,0.165,0.079,0.094,0.047,0.2440
12,True,0.9953,0.9937,0.165,0.079,0.094,0.047,0.2440
11,False,0.9954,0.9936,0.164,0.079,0.093,0.047,0.2430
11,True,0.9954,0.9936,0.164,0.079,0.093,0.047,0.2430
10,False,0.9953,0.9935,0.165,0.080,0.094,0.047,0.2440
10,True,0.9953,0.9935,0.165,0.080,0.094,0.047,0.2440
8,False,0.9954,0.9934,0.164,0.080,0.093,0.047,0.2440
8,True,0.9954,0.9934,0.164,0.080,0.093,0.047,0.2440
7,False,0.9954,0.9932,0.164,0.081,0.093,0.048,0.2460
7,True,0.9954,0.9932,0.164,0.081,0.093,0.048,0.2460
6,False,0.9953,0.9927,0.165,0.084,0.094,0.049,0.2490
6,True,0.9953,0.9927,0.165,0.084,0.094,0.049,0.2490
5,False,0.9951,0.9930,0.169,0.083,0.095,0.049,0.2520
5,True,0.9951,0.9930,0.169,0.083,0.095,0.049,0.2520
4,False,0.9950,0.9924,0.170,0.086,0.096,0.050,0.2560
4,True,0.9950,0.9924,0.170,0.086,0.096,0.050,0.2560
3,False,0.9948,0.9893,0.174,0.103,0.099,0.057,0.2770
3,True,0.9948,0.9893,0.174,0.103,0.099,0.057,0.2770
2,False,0.9851,0.9870,0.294,0.113,0.225,0.086,0.4070
2,True,0.9851,0.9870,0.294,0.113,0.225,0.086,0.4070
1,False,0.5567,0.4996,1.606,0.700,1.359,0.562,2.3050
1,True,0.5567,0.4996,1.606,0.700,1.359,0.562,2.3050
