kernels,filters,lr,r2,rmse
"(51, 25, 11)","(16, 32, 64)",0.003,0.9983570818570576,0.2336243304986396
"(41, 21, 11)","(16, 32, 64)",0.003,0.9979845082703956,0.25876207032528475
"(31, 15, 7)","(16, 32, 64)",0.003,0.9975382464188965,0.2859778496167622
"(21, 11, 5)","(16, 32, 64)",0.003,0.9962578672481456,0.35258976549020216
"(11, 7, 3)","(16, 32, 64)",0.003,0.9952050786730797,0.3991175729172625
"(7, 5, 3)","(16, 32, 64)",0.003,0.9942644418763421,0.43651377139051006
"(31, 15, 7)","(16, 32, 64)",0.001,0.9929270381045958,0.4847421292934035
"(51, 25, 11)","(16, 32, 64)",0.001,0.9927168668569225,0.4918914023591877
"(21, 11, 5)","(16, 32, 64)",0.001,0.992417347454144,0.5019040325863353
"(41, 21, 11)","(16, 32, 64)",0.001,0.9893720640067877,0.5942026333124233
"(11, 7, 3)","(16, 32, 64)",0.001,0.9886772435947427,0.6133186754475063
"(7, 5, 3)","(16, 32, 64)",0.001,0.9857512820858155,0.6880151498852238
