solution num,Sample Con,integration time(mS)
No. 1,18.187799999999999,300
No. 2,16.369019999999999,300
No. 3,14.880927272727273,300
No. 4,13.64085,300
No. 5,12.591553846153847,300
No. 6,11.692157142857143,300
No. 7,10.91268,300
No. 8,10.2306375,300
No. 9,9.628835294117648,240
No. 10,9.0938999999999997,240
No. 11,8.6152736842105266,240
No. 12,8.1845099999999995,240
No. 13,7.7752844999999997,240
No. 14,7.3865202749999996,240
No. 15,7.0171942612499993,240
No. 16,6.6663345481874998,240
No. 17,6.3330178207781245,240
No. 18,6.0163669297392186,240
No. 19,5.7155485832522581,300
No. 20,5.4297711540896447,300
No. 21,5.1582825963851624,300
No. 22,4.9003684665659044,300
No. 23,4.6553500432376094,300
No. 24,4.4225825410757285,250
No. 25,4.2014534140219419,250
No. 26,3.9913807433208448,250
No. 27,3.7918117061548022,250
No. 28,3.6022211208470623,300
No. 29,3.4221100648047091,300
No. 30,3.2510045615644736,300
No. 31,3.0884543334862498,300
No. 32,2.9340316168119371,300
No. 33,2.7873300359713404,300
No. 34,2.6479635341727734,500
No. 35,2.5155653574641348,500
No. 36,2.3897870895909281,500
No. 37,2.2702977351113818,500
No. 38,2.1567828483558129,500
No. 39,2.0489437059380222,500
No. 40,1.9464965206411211,500
No. 41,1.8491716946090651,500
No. 42,1.7567131098786117,1000
No. 43,1.6688774543846812,1000
No. 44,1.585433581665447,1000
No. 45,1.5061619025821746,1000
No. 46,4.5549999999999997,700
No. 47,3.9039999999999999,700
No. 48,3.3460000000000001,500
No. 49,2.8679999999999999,500
No. 50,2.4590000000000001,500
No. 51,2.1070000000000002,500
No. 52,1.806,500
No. 53,1.548,500
No. 54,1.327,500
No. 55,1.1379999999999999,500
No. 56,0.97499999999999998,500
No. 57,0.83599999999999997,500
No. 58,2.4100000000000001,580
No. 59,2.0299999999999998,580
No. 60,2.5,580
No. 61,1.76,580
No. 62,3.02,580
No. 63,2.5299999999999998,580
No. 64,3.29,580
No. 65,3.2000000000000002,580
No. 66,2.5,580
No. 67,2.3199999999999998,580
No. 68,3.2799999999999998,580
No. 69,4.6200000000000001,580
No. 70,3.3300000000000001,580
No. 71,2.5,580
No. 72,3.2400000000000002,580
No. 73,3.3900000000000001,580
No. 74,2.1899999999999999,580
No. 75,2.8799999999999999,580
No. 76,2.8999999999999999,580
No. 77,3.5099999999999998,580
No. 78,3.25,580
No. 79,2.8399999999999999,580
No. 80,2.5,580
No. 81,3.1899999999999999,580
No. 82,2.2400000000000002,580
No. 83,2.04,580
