solution num,Sample Con,integration time(mS)
No. 1,10.485431999999998,1000
No. 2,9.8300924999999975,1000
No. 3,9.2518517647058793,1000
No. 4,8.7378599999999977,1000
No. 5,8.2779726315789457,1000
No. 6,7.8640739999999978,1000
No. 7,7.4708702999999987,1000
No. 8,7.0973267849999981,1000
No. 9,6.7424604457499981,1000
No. 10,6.4053374234624982,1000
No. 11,6.0850705522893733,1000
No. 12,5.7808170246749047,1000
No. 13,5.491776173441159,1000
No. 14,5.2171873647691012,1000
No. 15,4.9563279965306464,1000
No. 16,4.7085115967041142,1000
No. 17,4.4730860168689084,1000
No. 18,4.2494317160254633,1000
No. 19,4.0369601302241902,1000
No. 20,3.8351121237129808,1000
No. 21,3.6433565175273315,1200
No. 22,3.4611886916509649,1200
No. 23,3.2881292570684169,1200
No. 24,3.1237227942149959,1200
No. 25,2.9675366545042463,1200
No. 26,2.8191598217790341,1500
No. 27,2.6782018306900826,3000
No. 28,2.5442917391555784,3000
No. 29,2.4170771521977992,3000
No. 30,2.2962232945879091,3000
No. 31,2.1814121298585136,3000
No. 32,2.072341523365588,3000
No. 33,1.9687244471973084,3000
No. 34,1.8702882248374428,3000
No. 35,1.7767738135955706,3000
No. 36,1.6879351229157922,3000
No. 37,1.6035383667700025,3000
No. 38,1.5233614484315023,3000
No. 39,1.4471933760099271,3000
No. 40,1.3748337072094308,5000
No. 41,1.3060920218489591,5000
No. 42,1.897,3000
No. 43,1.518,3000
No. 44,1.2649999999999999,3000
No. 45,1.0840000000000001,3000
No. 46,0.94799999999999995,3000
No. 47,0.84299999999999997,3000
No. 48,0.749,3000
No. 49,0.66600000000000004,3000
No. 50,0.59199999999999997,3000
No. 51,0.49299999999999999,3000
No. 52,0.41099999999999998,3000
No. 53,0.32900000000000001,3000
No. 54,1.6399999999999999,3000
No. 55,1.1299999999999999,3000
No. 56,1.4099999999999999,3000
No. 57,1.1100000000000001,3000
No. 58,1.74,3000
No. 59,1.55,3000
No. 60,2.04,3000
No. 61,1.8799999999999999,3000
No. 62,1.4099999999999999,3000
No. 63,1.48,3000
No. 64,1.5600000000000001,3000
No. 65,2.4900000000000002,3000
No. 66,1.8799999999999999,3000
No. 67,1.74,3000
No. 68,1.9199999999999999,3000
No. 69,1.8799999999999999,3000
No. 70,1.5,3000
No. 71,1.7,3000
No. 72,1.8100000000000001,3000
No. 73,1.6200000000000001,3000
No. 74,1.9399999999999999,3000
No. 75,1.6000000000000001,3000
No. 76,1.3100000000000001,3000
No. 77,1.48,3000
No. 78,1.3400000000000001,3000
No. 79,1.21,3000
No. 80,,
No. 81,,
No. 82,,
No. 83,,
