index,label,conc,reason
0,0.33 ppm (3000ms),0.329,"Stage1-MAD: peak at pixel 1942, median=2348, MAD=110.0"
2,0.49 ppm (3000ms),0.4929999999999999,"Stage1-MAD: peak at pixel 1751, median=2348, MAD=110.0"
3,0.59 ppm (3000ms),0.5919999999999999,"Stage1-MAD: peak at pixel 1751, median=2348, MAD=110.0"
4,0.67 ppm (3000ms),0.666,"Stage1-MAD: peak at pixel 1750, median=2348, MAD=110.0"
5,0.75 ppm (3000ms),0.749,"Stage1-MAD: peak at pixel 1744, median=2348, MAD=110.0"
6,0.84 ppm (3000ms),0.8429999999999999,"Stage1-MAD: peak at pixel 1632, median=2348, MAD=110.0"
60,4.04 ppm (1000ms),4.03696013022419,Stage2-T²: T²=15.9 > threshold 15.1
68,6.09 ppm (1000ms),6.085070552289372,Stage2-T²: T²=15.3 > threshold 15.1
76,9.25 ppm (1000ms),9.25185176470588,Stage2-T²: T²=26.0 > threshold 15.1
78,10.49 ppm (1000ms),10.485431999999998,Stage2-T²: T²=27.0 > threshold 15.1
