sample_rank,actual_ppm,cv_predicted_ppm,error_ppm,abs_error_ppm,pct_error
1,0.8359999999999999,1.5187,0.6827,0.6827,81.66
2,0.975,1.1162,0.1412,0.1412,14.49
3,1.138,0.6574,-0.4806,0.4806,42.23
4,1.327,1.825,0.498,0.498,37.53
5,1.5061619025821746,0.6868,-0.8194,0.8194,54.4
6,1.548,1.1767,-0.3713,0.3713,23.99
7,1.585433581665447,2.3455,0.76,0.76,47.94
8,1.6688774543846812,2.4246,0.7557,0.7557,45.28
9,1.7567131098786115,3.4927,1.736,1.736,98.82
10,1.806,2.0621,0.2561,0.2561,14.18
11,1.8491716946090648,1.1235,-0.7257,0.7257,39.24
12,1.9464965206411209,3.2794,1.3329,1.3329,68.48
13,2.048943705938022,1.7689,-0.2801,0.2801,13.67
14,2.107,2.6868,0.5798,0.5798,27.52
15,2.156782848355813,2.2026,0.0458,0.0458,2.13
16,2.2702977351113818,2.6865,0.4162,0.4162,18.33
17,2.389787089590928,3.274,0.8842,0.8842,37.0
18,2.515565357464135,2.2248,-0.2908,0.2908,11.56
19,2.6479635341727734,1.6646,-0.9834,0.9834,37.14
20,2.7873300359713404,2.9158,0.1284,0.1284,4.61
21,2.868,3.5716,0.7036,0.7036,24.53
22,2.9340316168119367,3.2009,0.2669,0.2669,9.1
23,3.0884543334862498,2.7189,-0.3696,0.3696,11.97
24,3.2510045615644736,3.0481,-0.2029,0.2029,6.24
25,3.346,3.8093,0.4633,0.4633,13.85
26,3.4221100648047087,4.43,1.0079,1.0079,29.45
27,3.6022211208470623,4.8073,1.205,1.205,33.45
28,3.791811706154802,5.6149,1.8231,1.8231,48.08
29,3.991380743320845,4.3194,0.328,0.328,8.22
30,4.201453414021942,4.7406,0.5392,0.5392,12.83
31,4.4225825410757285,6.0957,1.6731,1.6731,37.83
32,4.655350043237609,6.2059,1.5506,1.5506,33.31
33,4.900368466565904,5.2872,0.3868,0.3868,7.89
34,5.1582825963851615,3.9516,-1.2067,1.2067,23.39
35,5.429771154089645,5.0741,-0.3556,0.3556,6.55
36,5.715548583252257,5.1906,-0.5249,0.5249,9.18
37,6.016366929739219,7.4153,1.3989,1.3989,23.25
38,6.3330178207781245,5.9615,-0.3715,0.3715,5.87
39,6.6663345481875,7.3018,0.6354,0.6354,9.53
40,7.017194261249999,7.0095,-0.0077,0.0077,0.11
41,7.386520274999999,6.157,-1.2296,1.2296,16.65
42,7.775284499999999,6.3257,-1.4496,1.4496,18.64
43,8.184509999999998,7.052,-1.1325,1.1325,13.84
44,8.615273684210527,6.5652,-2.0501,2.0501,23.8
45,9.0939,6.5842,-2.5097,2.5097,27.6
46,9.628835294117648,5.7347,-3.8941,3.8941,40.44
