sample_rank,actual_ppm,cv_predicted_ppm,error_ppm,abs_error_ppm,pct_error
1,0.4109999999999999,2.8365,2.4255,2.4255,590.14
2,0.948,1.1454,0.1974,0.1974,20.82
3,1.084,0.9907,-0.0933,0.0933,8.61
4,1.11,1.5752,0.4652,0.4652,41.91
5,1.13,1.4995,0.3695,0.3695,32.7
6,1.21,1.7432,0.5332,0.5332,44.07
7,1.265,0.9471,-0.3179,0.3179,25.13
8,1.3060920218489591,1.72,0.4139,0.4139,31.69
9,1.31,1.4931,0.1831,0.1831,13.98
10,1.34,1.582,0.242,0.242,18.06
11,1.3748337072094308,2.2724,0.8976,0.8976,65.29
12,1.41,1.628,0.218,0.218,15.46
13,1.41,1.7909,0.3809,0.3809,27.01
14,1.4471933760099271,3.7823,2.3352,2.3352,161.36
15,1.48,1.6193,0.1393,0.1393,9.41
16,1.48,1.7113,0.2313,0.2313,15.63
17,1.5,1.1857,-0.3143,0.3143,20.96
18,1.518,1.3344,-0.1836,0.1836,12.1
19,1.5233614484315023,2.3088,0.7854,0.7854,51.56
20,1.55,1.7096,0.1596,0.1596,10.3
21,1.56,1.5388,-0.0212,0.0212,1.36
22,1.6,1.4995,-0.1005,0.1005,6.28
23,1.6035383667700025,1.567,-0.0365,0.0365,2.28
24,1.62,1.63,0.01,0.01,0.62
25,1.64,1.5343,-0.1057,0.1057,6.44
26,1.6879351229157922,2.2384,0.5504,0.5504,32.61
27,1.7,1.7635,0.0635,0.0635,3.73
28,1.74,1.612,-0.128,0.128,7.36
29,1.74,1.4836,-0.2564,0.2564,14.73
30,1.7767738135955706,2.784,1.0072,1.0072,56.69
31,1.81,1.6382,-0.1718,0.1718,9.49
32,1.8702882248374428,1.9796,0.1093,0.1093,5.85
33,1.88,1.6095,-0.2705,0.2705,14.39
34,1.88,1.7047,-0.1753,0.1753,9.33
35,1.88,1.6673,-0.2127,0.2127,11.31
36,1.897,1.7102,-0.1868,0.1868,9.85
37,1.92,1.7176,-0.2024,0.2024,10.54
38,1.94,1.8358,-0.1042,0.1042,5.37
39,1.9687244471973084,2.5677,0.599,0.599,30.43
40,2.04,1.6376,-0.4024,0.4024,19.73
41,2.072341523365588,2.2227,0.1503,0.1503,7.25
42,2.1814121298585136,1.6539,-0.5275,0.5275,24.18
43,2.2962232945879086,2.1427,-0.1535,0.1535,6.69
44,2.417077152197799,2.4047,-0.0124,0.0124,0.51
45,2.49,1.6897,-0.8003,0.8003,32.14
46,2.5442917391555784,2.4075,-0.1368,0.1368,5.38
47,2.6782018306900826,4.177,1.4988,1.4988,55.96
48,2.819159821779034,3.9147,1.0955,1.0955,38.86
49,2.9675366545042463,2.0649,-0.9027,0.9027,30.42
50,3.123722794214996,2.9855,-0.1383,0.1383,4.43
51,3.288129257068417,2.9315,-0.3566,0.3566,10.84
52,3.461188691650965,2.925,-0.5362,0.5362,15.49
53,3.643356517527332,4.1357,0.4924,0.4924,13.51
54,3.835112123712981,5.5697,1.7346,1.7346,45.23
55,4.03696013022419,5.9393,1.9023,1.9023,47.12
56,4.249431716025463,5.6256,1.3761,1.3761,32.38
57,4.473086016868908,6.4981,2.025,2.025,45.27
58,4.708511596704113,4.5909,-0.1176,0.1176,2.5
59,4.956327996530646,4.7532,-0.2031,0.2031,4.1
60,5.217187364769101,5.8131,0.5959,0.5959,11.42
61,5.491776173441159,6.6093,1.1175,1.1175,20.35
62,5.780817024674905,6.2568,0.4759,0.4759,8.23
63,6.085070552289372,7.4886,1.4035,1.4035,23.07
64,6.405337423462497,6.0106,-0.3947,0.3947,6.16
65,6.742460445749998,5.6054,-1.137,1.137,16.86
66,7.097326784999998,6.7746,-0.3228,0.3228,4.55
67,7.470870299999999,6.1068,-1.3641,1.3641,18.26
68,7.864073999999997,5.7216,-2.1425,2.1425,27.24
69,8.277972631578946,7.9377,-0.3402,0.3402,4.11
70,8.737859999999996,5.4316,-3.3062,3.3062,37.84
71,9.25185176470588,7.3061,-1.9458,1.9458,21.03
72,9.830092499999997,5.0821,-4.748,4.748,48.3
73,10.485431999999998,7.9199,-2.5655,2.5655,24.47
