sample_rank,actual_ppm,cv_predicted_ppm,error_ppm,abs_error_ppm,pct_error
1,0.8359999999999999,2.0439,1.2079,1.2079,144.49
2,0.975,1.2305,0.2555,0.2555,26.2
3,1.138,1.6597,0.5217,0.5217,45.85
4,1.327,1.5207,0.1937,0.1937,14.6
5,1.5061619025821746,2.2965,0.7903,0.7903,52.47
6,1.548,1.8623,0.3143,0.3143,20.31
7,1.585433581665447,3.0398,1.4544,1.4544,91.73
8,1.6688774543846812,2.8946,1.2257,1.2257,73.45
9,1.7567131098786115,3.4831,1.7264,1.7264,98.27
10,1.76,6.2536,4.4936,4.4936,255.32
11,1.806,6.8688,5.0628,5.0628,280.33
12,1.8491716946090648,1.2076,-0.6415,0.6415,34.69
13,1.9464965206411209,3.3247,1.3782,1.3782,70.8
14,2.03,1.3567,-0.6733,0.6733,33.17
15,2.04,3.429,1.389,1.389,68.09
16,2.048943705938022,1.9498,-0.0992,0.0992,4.84
17,2.107,3.0196,0.9126,0.9126,43.31
18,2.156782848355813,2.6792,0.5224,0.5224,24.22
19,2.19,1.8915,-0.2985,0.2985,13.63
20,2.24,2.7888,0.5488,0.5488,24.5
21,2.2702977351113818,2.7944,0.5241,0.5241,23.08
22,2.32,0.6417,-1.6783,1.6783,72.34
23,2.389787089590928,2.3773,-0.0124,0.0124,0.52
24,2.41,3.0308,0.6208,0.6208,25.76
25,2.459,2.5836,0.1246,0.1246,5.07
26,2.5,3.278,0.778,0.778,31.12
27,2.5,3.0737,0.5737,0.5737,22.95
28,2.5,2.9913,0.4913,0.4913,19.65
29,2.5,5.1202,2.6202,2.6202,104.81
30,2.515565357464135,4.8251,2.3095,2.3095,91.81
31,2.53,2.2049,-0.3251,0.3251,12.85
32,2.6479635341727734,2.2915,-0.3565,0.3565,13.46
33,2.7873300359713404,3.6889,0.9016,0.9016,32.35
34,2.84,2.2919,-0.5481,0.5481,19.3
35,2.868,2.8259,-0.0421,0.0421,1.47
36,2.88,2.6716,-0.2084,0.2084,7.23
37,2.9,1.1096,-1.7904,1.7904,61.74
38,2.9340316168119367,4.4303,1.4963,1.4963,51.0
39,3.02,4.1495,1.1295,1.1295,37.4
40,3.0884543334862498,4.6427,1.5542,1.5542,50.32
41,3.19,2.576,-0.614,0.614,19.25
42,3.2,4.8553,1.6553,1.6553,51.73
43,3.24,2.3112,-0.9288,0.9288,28.67
44,3.25,3.1007,-0.1493,0.1493,4.59
45,3.2510045615644736,4.3112,1.0602,1.0602,32.61
46,3.28,2.9354,-0.3446,0.3446,10.51
47,3.29,1.5847,-1.7053,1.7053,51.83
48,3.33,4.0979,0.7679,0.7679,23.06
49,3.346,4.0216,0.6756,0.6756,20.19
50,3.39,2.3462,-1.0438,1.0438,30.79
51,3.4221100648047087,2.8681,-0.5541,0.5541,16.19
52,3.51,2.7277,-0.7823,0.7823,22.29
53,3.6022211208470623,4.584,0.9818,0.9818,27.26
54,3.791811706154802,7.2854,3.4936,3.4936,92.14
55,3.904,3.4423,-0.4617,0.4617,11.83
56,3.991380743320845,3.4596,-0.5317,0.5317,13.32
57,4.201453414021942,3.9408,-0.2606,0.2606,6.2
58,4.4225825410757285,4.7173,0.2947,0.2947,6.66
59,4.555,3.9396,-0.6154,0.6154,13.51
60,4.62,3.173,-1.447,1.447,31.32
61,4.655350043237609,4.2355,-0.4198,0.4198,9.02
62,4.900368466565904,7.2263,2.3259,2.3259,47.46
63,5.1582825963851615,3.1205,-2.0377,2.0377,39.5
64,5.429771154089645,4.2633,-1.1664,1.1664,21.48
65,5.715548583252257,4.4641,-1.2514,1.2514,21.89
66,6.016366929739219,7.094,1.0776,1.0776,17.91
67,6.3330178207781245,5.6593,-0.6737,0.6737,10.64
68,6.6663345481875,5.6836,-0.9828,0.9828,14.74
69,7.017194261249999,5.1429,-1.8743,1.8743,26.71
70,7.386520274999999,5.2412,-2.1453,2.1453,29.04
71,7.775284499999999,6.4519,-1.3234,1.3234,17.02
72,8.184509999999998,4.8149,-3.3696,3.3696,41.17
73,8.615273684210527,6.0171,-2.5982,2.5982,30.16
74,9.0939,4.1124,-4.9815,4.9815,54.78
75,9.628835294117648,3.61,-6.0189,6.0189,62.51
76,10.2306375,11.5813,1.3507,1.3507,13.2
77,10.91268,6.4021,-4.5106,4.5106,41.33
78,11.692157142857145,14.1705,2.4784,2.4784,21.2
79,12.591553846153849,9.789,-2.8025,2.8025,22.26
80,13.64085,12.9458,-0.6951,0.6951,5.1
81,14.880927272727272,11.3549,-3.526,3.526,23.69
82,16.36902,3.1776,-13.1914,13.1914,80.59
83,18.1878,3.4137,-14.7741,14.7741,81.23
