sample_rank,actual_ppm,cv_predicted_ppm,error_ppm,abs_error_ppm,pct_error
1,0.329,1.4203,1.0913,1.0913,331.7
2,0.4109999999999999,0.7397,0.3287,0.3287,79.98
3,0.948,1.8571,0.9091,0.9091,95.89
4,1.084,1.1483,0.0643,0.0643,5.93
5,1.265,1.486,0.221,0.221,17.47
6,1.3060920218489591,1.2488,-0.0573,0.0573,4.39
7,1.3748337072094308,4.5532,3.1783,3.1783,231.18
8,1.41,2.0061,0.5961,0.5961,42.27
9,1.41,1.7138,0.3038,0.3038,21.55
10,1.4471933760099271,2.4894,1.0422,1.0422,72.02
11,1.48,1.7367,0.2567,0.2567,17.35
12,1.48,1.7795,0.2995,0.2995,20.24
13,1.518,1.8522,0.3342,0.3342,22.02
14,1.5233614484315023,1.7048,0.1814,0.1814,11.91
15,1.55,1.4669,-0.0831,0.0831,5.36
16,1.6035383667700025,2.1639,0.5603,0.5603,34.94
17,1.6879351229157922,1.0241,-0.6638,0.6638,39.33
18,1.7,1.8014,0.1014,0.1014,5.96
19,1.7767738135955706,2.0365,0.2597,0.2597,14.62
20,1.8702882248374428,3.4129,1.5426,1.5426,82.48
21,1.88,1.7173,-0.1627,0.1627,8.65
22,1.897,1.4942,-0.4028,0.4028,21.23
23,1.92,1.4064,-0.5136,0.5136,26.75
24,1.94,1.3771,-0.5629,0.5629,29.02
25,1.9687244471973084,3.0157,1.047,1.047,53.18
26,2.04,1.4819,-0.5581,0.5581,27.36
27,2.072341523365588,1.1385,-0.9338,0.9338,45.06
28,2.1814121298585136,4.9723,2.7909,2.7909,127.94
29,2.2962232945879086,2.9939,0.6977,0.6977,30.39
30,2.417077152197799,2.2524,-0.1647,0.1647,6.81
31,2.49,1.6254,-0.8646,0.8646,34.72
32,2.5442917391555784,2.3924,-0.1519,0.1519,5.97
33,2.6782018306900826,7.1647,4.4865,4.4865,167.52
34,2.819159821779034,4.556,1.7368,1.7368,61.61
35,2.9675366545042463,2.3802,-0.5873,0.5873,19.79
36,3.123722794214996,5.3454,2.2217,2.2217,71.12
37,3.288129257068417,5.1308,1.8427,1.8427,56.04
38,3.461188691650965,1.7568,-1.7044,1.7044,49.24
39,3.643356517527332,1.8014,-1.8419,1.8419,50.56
40,3.835112123712981,5.4178,1.5826,1.5826,41.27
41,4.03696013022419,4.1417,0.1048,0.1048,2.6
42,4.249431716025463,4.7119,0.4625,0.4625,10.88
43,4.473086016868908,4.4299,-0.0432,0.0432,0.97
44,4.708511596704113,7.744,3.0355,3.0355,64.47
45,4.956327996530646,5.9889,1.0326,1.0326,20.83
46,5.217187364769101,5.3501,0.1329,0.1329,2.55
47,5.491776173441159,3.8072,-1.6845,1.6845,30.67
48,5.780817024674905,8.4268,2.6459,2.6459,45.77
49,6.085070552289372,7.5479,1.4629,1.4629,24.04
50,6.405337423462497,5.0662,-1.3391,1.3391,20.91
51,6.742460445749998,4.9261,-1.8163,1.8163,26.94
52,7.097326784999998,4.1068,-2.9906,2.9906,42.14
53,7.470870299999999,3.3181,-4.1528,4.1528,55.59
54,7.864073999999997,2.3199,-5.5441,5.5441,70.5
55,8.277972631578946,4.9478,-3.3302,3.3302,40.23
56,8.737859999999996,2.1666,-6.5713,6.5713,75.2
57,9.25185176470588,7.7389,-1.5129,1.5129,16.35
58,9.830092499999997,4.6814,-5.1487,5.1487,52.38
59,10.485431999999998,7.1996,-3.2858,3.2858,31.34
