sample_rank,actual_ppm,cv_predicted_ppm,error_ppm,abs_error_ppm,pct_error
1,0.8359999999999999,1.1967,0.3607,0.3607,43.15
2,0.975,1.3433,0.3683,0.3683,37.77
3,1.138,1.1683,0.0303,0.0303,2.66
4,1.327,1.5669,0.2399,0.2399,18.08
5,1.5061619025821746,0.7148,-0.7914,0.7914,52.54
6,1.548,1.218,-0.33,0.33,21.32
7,1.585433581665447,1.3575,-0.2279,0.2279,14.38
8,1.6688774543846812,2.2558,0.5869,0.5869,35.17
9,1.7567131098786115,2.8499,1.0932,1.0932,62.23
10,1.806,1.9666,0.1606,0.1606,8.89
11,1.8491716946090648,1.6591,-0.1901,0.1901,10.28
12,1.9464965206411209,2.4835,0.537,0.537,27.59
13,2.048943705938022,1.7859,-0.263,0.263,12.84
14,2.107,2.2772,0.1702,0.1702,8.08
15,2.156782848355813,1.4609,-0.6959,0.6959,32.27
16,2.2702977351113818,2.5865,0.3162,0.3162,13.93
17,2.389787089590928,2.7953,0.4055,0.4055,16.97
18,2.515565357464135,2.1446,-0.3709,0.3709,14.75
19,2.6479635341727734,1.7174,-0.9305,0.9305,35.14
20,2.7873300359713404,2.994,0.2067,0.2067,7.41
21,2.868,3.625,0.757,0.757,26.39
22,2.9340316168119367,3.3514,0.4174,0.4174,14.22
23,3.0884543334862498,2.947,-0.1415,0.1415,4.58
24,3.2510045615644736,3.1563,-0.0947,0.0947,2.91
25,3.346,4.1478,0.8018,0.8018,23.96
26,3.4221100648047087,4.1874,0.7653,0.7653,22.36
27,3.6022211208470623,4.4753,0.873,0.873,24.24
28,3.791811706154802,6.0035,2.2117,2.2117,58.33
29,3.904,4.1828,0.2788,0.2788,7.14
30,3.991380743320845,3.6932,-0.2982,0.2982,7.47
31,4.201453414021942,4.5104,0.3089,0.3089,7.35
32,4.4225825410757285,4.905,0.4824,0.4824,10.91
33,4.555,2.6976,-1.8574,1.8574,40.78
34,4.655350043237609,5.78,1.1247,1.1247,24.16
35,4.900368466565904,5.0306,0.1303,0.1303,2.66
36,5.1582825963851615,4.1996,-0.9587,0.9587,18.59
37,5.429771154089645,4.682,-0.7478,0.7478,13.77
38,5.715548583252257,5.1449,-0.5706,0.5706,9.98
39,6.016366929739219,7.779,1.7626,1.7626,29.3
40,6.3330178207781245,6.5811,0.2481,0.2481,3.92
41,6.6663345481875,6.8656,0.1993,0.1993,2.99
42,7.017194261249999,6.1135,-0.9037,0.9037,12.88
43,7.386520274999999,6.0941,-1.2924,1.2924,17.5
44,7.775284499999999,6.1247,-1.6506,1.6506,21.23
45,8.184509999999998,6.6769,-1.5076,1.5076,18.42
46,8.615273684210527,6.6042,-2.0111,2.0111,23.34
47,9.0939,6.6004,-2.4935,2.4935,27.42
48,9.628835294117648,5.9841,-3.6448,3.6448,37.85
