sample_rank,actual_ppm,cv_predicted_ppm,error_ppm,abs_error_ppm,pct_error
1,0.4109999999999999,1.5147,1.1037,1.1037,268.55
2,0.948,1.3706,0.4226,0.4226,44.57
3,1.084,0.8399,-0.2441,0.2441,22.51
4,1.11,1.5842,0.4742,0.4742,42.72
5,1.13,1.5058,0.3758,0.3758,33.26
6,1.21,1.7105,0.5005,0.5005,41.36
7,1.265,1.0957,-0.1693,0.1693,13.39
8,1.3060920218489591,1.7113,0.4052,0.4052,31.02
9,1.31,1.5464,0.2364,0.2364,18.05
10,1.34,1.5785,0.2385,0.2385,17.8
11,1.3748337072094308,2.1839,0.809,0.809,58.84
12,1.41,1.6922,0.2822,0.2822,20.01
13,1.41,1.819,0.409,0.409,29.01
14,1.4471933760099271,3.3854,1.9382,1.9382,133.93
15,1.48,1.6267,0.1467,0.1467,9.91
16,1.48,1.6902,0.2102,0.2102,14.2
17,1.5,1.2494,-0.2506,0.2506,16.7
18,1.518,1.0486,-0.4694,0.4694,30.92
19,1.5233614484315023,2.4742,0.9508,0.9508,62.41
20,1.55,1.7202,0.1702,0.1702,10.98
21,1.56,1.5234,-0.0366,0.0366,2.35
22,1.6,1.492,-0.108,0.108,6.75
23,1.6035383667700025,1.8753,0.2717,0.2717,16.95
24,1.62,1.6276,0.0076,0.0076,0.47
25,1.64,1.4157,-0.2243,0.2243,13.68
26,1.6879351229157922,2.4509,0.763,0.763,45.2
27,1.7,1.704,0.004,0.004,0.24
28,1.74,1.5672,-0.1728,0.1728,9.93
29,1.74,1.4787,-0.2613,0.2613,15.02
30,1.7767738135955706,2.552,0.7752,0.7752,43.63
31,1.81,1.6289,-0.1811,0.1811,10.0
32,1.8702882248374428,2.2098,0.3395,0.3395,18.15
33,1.88,1.5914,-0.2886,0.2886,15.35
34,1.88,1.6506,-0.2294,0.2294,12.2
35,1.88,1.6062,-0.2738,0.2738,14.56
36,1.897,1.1182,-0.7788,0.7788,41.05
37,1.92,1.7917,-0.1283,0.1283,6.68
38,1.94,1.766,-0.174,0.174,8.97
39,1.9687244471973084,2.3406,0.3719,0.3719,18.89
40,2.04,1.6848,-0.3552,0.3552,17.41
41,2.072341523365588,1.9562,-0.1162,0.1162,5.61
42,2.1814121298585136,2.2412,0.0598,0.0598,2.74
43,2.2962232945879086,2.1193,-0.1769,0.1769,7.7
44,2.417077152197799,2.3633,-0.0538,0.0538,2.22
45,2.49,1.6798,-0.8102,0.8102,32.54
46,2.5442917391555784,2.1613,-0.383,0.383,15.05
47,2.6782018306900826,3.1511,0.4729,0.4729,17.66
48,2.819159821779034,3.6074,0.7883,0.7883,27.96
49,2.9675366545042463,3.041,0.0735,0.0735,2.48
50,3.123722794214996,3.3514,0.2277,0.2277,7.29
51,3.288129257068417,3.0496,-0.2385,0.2385,7.25
52,3.461188691650965,3.0078,-0.4534,0.4534,13.1
53,3.643356517527332,3.0313,-0.612,0.612,16.8
54,3.835112123712981,5.4395,1.6044,1.6044,41.83
55,4.03696013022419,5.5771,1.5402,1.5402,38.15
56,4.249431716025463,5.8072,1.5578,1.5578,36.66
57,4.473086016868908,5.7661,1.293,1.293,28.91
58,4.708511596704113,4.0255,-0.683,0.683,14.51
59,4.956327996530646,3.9479,-1.0084,1.0084,20.35
60,5.217187364769101,5.5028,0.2856,0.2856,5.47
61,5.491776173441159,7.0512,1.5594,1.5594,28.4
62,5.780817024674905,5.5054,-0.2754,0.2754,4.76
63,6.085070552289372,6.9388,0.8538,0.8538,14.03
64,6.405337423462497,6.3131,-0.0923,0.0923,1.44
65,6.742460445749998,5.5282,-1.2143,1.2143,18.01
66,7.097326784999998,5.8005,-1.2968,1.2968,18.27
67,7.470870299999999,6.1795,-1.2914,1.2914,17.29
68,7.864073999999997,5.2095,-2.6546,2.6546,33.76
69,8.277972631578946,8.0871,-0.1908,0.1908,2.31
70,8.737859999999996,5.4506,-3.2873,3.2873,37.62
71,9.25185176470588,7.1171,-2.1348,2.1348,23.07
72,9.830092499999997,4.1584,-5.6717,5.6717,57.7
73,10.485431999999998,8.2968,-2.1886,2.1886,20.87
