samples,noise,r2,rmse
20,0.001,0.9388222540379807,1.6710753472546793
20,0.01,0.9964779106793301,0.3391157042668592
20,0.05,0.7258762207330398,3.701208183801457
50,0.001,0.9996035872818769,0.11857822188515917
50,0.01,0.9981299096908808,0.20737583807603469
50,0.05,0.998306676318174,0.1962148595880246
100,0.001,0.999562133055616,0.09664229173014037
100,0.01,0.9971314440051336,0.342946773120957
100,0.05,0.9995437208207155,0.11130705969419048
200,0.001,0.9928017875933548,0.456362710677735
200,0.01,0.9997101738327275,0.10097455296915497
200,0.05,0.9975306936580365,0.33095116210748105
500,0.001,0.998492386430831,0.22995796816589203
500,0.01,0.9965543828097057,0.3271098905040251
500,0.05,0.9981830545224671,0.2429645149492402
